,,Race,Gender,,,,,,,,,,,,,,,,,,,,
akon featuring colby odonis and kardinal offishall,2009,nw,m,,,,,,,,,,,,,,,,,,,,
akon featuring eminem,2006,nw,m,,,,,,,,,,,,,,,,,,,,
akon featuring eminem,2007,nw,m,,,,,,,,,,,,,,,,,,,,
akon featuring snoop dogg,2007,nw,m,,,,,,,,,,,,,,,,,,,,
akon featuring styles p,2004,nw,m,,,,,,,,,,,,,,,,,,,,
al b sure,1988,,,,,,,,,,,,,,,,,,,,,,
al green,1971,nw,m,,,,,,,,,,,,,,,,,,,,
al green,1972,nw,m,,,,,,,,,,,,,,,,,,,,
al green,1972,nw,m,,,,,,,,,,,,,,,,,,,,
al green,1972,nw,m,,,,,,,,,,,,,,,,,,,,
al green,1973,nw,m,,,,,,,,,,,,,,,,,,,,
al green,1975,nw,,,,,,,,,,,,,,,,,,,,,
al stewart,1977,,,,,,,,,,,,,,,,,,,,,,
al stewart,1979,,,,,,,,,,,,,,,,,,,,,,
al wilson,1974,,,,,,,,,,,,,,,,,,,,,,
alabama,1981,,,,,,,,,,,,,,,,,,,,,,
alabama,1982,,,,,,,,,,,,,,,,,,,,,,
alabama and n sync,1999,,,,,,,,,,,,,,,,,,,,,,
alan jackson,2002,w,m,,,,,,,,,,,,,,,,,,,,
alan jackson,2002,w,m,,,,,,,,,,,,,,,,,,,,
alan jackson,2004,w,m,,,,,,,,,,,,,,,,,,,,
alan jackson featuring jimmy buffett,2003,w,m,,,,,,,,,,,,,,,,,,,,
alan oday,1977,,,,,,,,,,,,,,,,,,,,,,
alanis morissette,1996,w,f,,,,,,,,,,,,,,,,,,,,
alanis morissette,1996,w,f,,,,,,,,,,,,,,,,,,,,
alanis morissette,2002,w,f,,,,,,,,,,,,,,,,,,,,
alannah myles,1990,,,,,,,,,,,,,,,,,,,,,,
albert hammond,1973,,,,,,,,,,,,,,,,,,,,,,
alessia cara,2015,nw,f,,,,,,,,,,,,,,,,,,,,
alex clare,2012,w,m,,,,,,,,,,,,,,,,,,,,
alice cooper,1972,w,m,,,,,,,,,,,,,,,,,,,,
alice cooper,1975,,,,,,,,,,,,,,,,,,,,,,
alice cooper,1977,,,,,,,,,,,,,,,,,,,,,,
alice cooper,1977,,,,,,,,,,,,,,,,,,,,,,
alice cooper,1979,,,,,,,,,,,,,,,,,,,,,,
alice cooper,1989,,,,,,,,,,,,,,,,,,,,,,
alice deejay,2000,w,f,,,,,,,,,,,,,,,,,,,,
alicia bridges,1978,,,,,,,,,,,,,,,,,,,,,,
alicia bridges,1979,,,,,,,,,,,,,,,,,,,,,,
alicia keys,2001,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2002,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2004,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2004,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2005,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2007,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2008,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2008,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2010,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2010,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys,2013,nw,f,,,,,,,,,,,,,,,,,,,,
alicia keys featuring tony toni tone,2004,nw,f,,,,,,,,,,,,,,,,,,,,
alive n kickin,1970,,,,,,,,,,,,,,,,,,,,,,
all saints,1998,w,f,,,,,,,,,,,,,,,,,,,,
all4one,1994,nw,m,,,,,,,,,,,,,,,,,,,,
